clust_id,clust_rep,new_Kingdom,new_Phylum,new_Class,new_Order,new_Family,new_Genus,new_Species,problematic_tax
10251,EU246248.1.1463,Bacteria,Chloroflexi,Anaerolineae,SBR1031,Ambiguous_taxa/uncultured organism,Ambiguous_taxa/uncultured organism,Ambiguous_taxauncultured organism Ambiguous_taxa/organism(2),Disc.Fam_Ambiguous_taxa/uncultured organism(2)
10268,EU266818.1.1505,Bacteria,Patescibacteria,Microgenomatia,Candidatus Shapirobacteria,uncultured Microgenomates group bacterium/Ambiguous_taxa,uncultured Microgenomates group bacterium/Ambiguous_taxa,uncultured Microgenomates group bacteriumAmbiguous_taxa bacterium/Ambiguous_taxa(2),Disc.Fam_uncultured Microgenomates group bacterium/Ambiguous_taxa(2)
10272,EU276454.1.1487,Bacteria,Acidobacteria,Subgroup 6,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Ord_Ambiguous_taxa/uncultured bacterium(2)
10292,EU307074.1.943,Archaea,Thaumarchaeota,Group 1.1c,uncultured crenarchaeote/uncultured archaeon,uncultured crenarchaeote/uncultured archaeon,uncultured crenarchaeote/uncultured archaeon,uncultured crenarchaeoteuncultured archaeon crenarchaeote/archaeon(2),Disc.Ord_uncultured crenarchaeote/uncultured archaeon(2)
10383,EU449668.1.1461,Bacteria,Acidobacteria,Subgroup 6,uncultured Acidobacteriales bacterium/uncultured bacterium,uncultured Acidobacteriales bacterium/uncultured bacterium,uncultured Acidobacteriales bacterium/uncultured bacterium,uncultured Acidobacteriales bacteriumuncultured bacterium bacterium(1),Disc.Ord_uncultured Acidobacteriales bacterium/uncultured bacterium(2)
1039,EU246214.1.1520,Bacteria,Proteobacteria,Deltaproteobacteria,NKB15/SAR324 clade(Marine group B),uncultured organism,uncultured organism,uncultured organism organism(1),Disc.Ord_NKB15/SAR324 clade(Marine group B)(2)
1046,FJ371004.1.1394,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Ruminococcaceae,Blautia/Ruminiclostridium 5/Roseburia,BlautiaRuminiclostridium 5Roseburia bacterium(1),Disc.Fam_Lachnospiraceae/Ruminococcaceae(2)
10491,EU463710.1.1385,Bacteria,Firmicutes/Fibrobacteres,Clostridia/Fibrobacteria,Clostridiales/Fibrobacterales,Family XIII/Fibrobacteraceae,Family XIII AD3011 group/Fibrobacter,Family XIII AD3011 groupFibrobacter bacterium(1),Disc.Phy_)Firmicutes/Fibrobacteres(2)
1058,GAOK01049512.6271.8188,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Cercis gigantea/Ambiguous_taxa,Cercis gigantea/Ambiguous_taxa,Cercis giganteaAmbiguous_taxa gigantea/Ambiguous_taxa(2),Disc.Fam_Cercis gigantea/Ambiguous_taxa(2)
10627,EU491326.1.1501,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales/Thiohalorhabdales,Woeseiaceae/Thiohalorhabdaceae,Woeseia/uncultured,Woeseiauncultured bacterium(1),Disc.Ord_Steroidobacterales/Thiohalorhabdales(2)
10690,EU530583.1.1373,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales/Terrestrial Miscellaneous Gp(TMCG),Thermofilaceae/uncultured archaeon,Thermofilum/uncultured archaeon,Thermofilumuncultured archaeon sp./archaeon(2),Disc.Ord_Thermoproteales/Terrestrial Miscellaneous Gp(TMCG)(2)
10702,EU559699.4669.6134,Archaea,Crenarchaeota,Bathyarchaeia,Ambiguous_taxa/uncultured archaeon,Ambiguous_taxa/uncultured archaeon,Ambiguous_taxa/uncultured archaeon,Ambiguous_taxauncultured archaeon Ambiguous_taxa/archaeon(2),Disc.Ord_Ambiguous_taxa/uncultured archaeon(2)
10709,EU570856.1.1502,Bacteria,Proteobacteria/Epsilonbacteraeota,Gammaproteobacteria/Campylobacteria,Methylococcales/Campylobacterales,Methylomonaceae/Thiovulaceae,Marine Methylotrophic Group 2/Sulfurimonas,Marine Methylotrophic Group 2Sulfurimonas bacterium(1),Disc.Phy_)Proteobacteria/Epsilonbacteraeota(2)
10731,EU624036.1.1443,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Phacus ranula/Phacus ankylonoton,Phacus ranula/Phacus ankylonoton,Phacus ranulaPhacus ankylonoton ranula/ankylonoton(2),Disc.Fam_Phacus ranula/Phacus ankylonoton(2)
10739,EU650245.1.1378,Archaea,Thaumarchaeota,Marine Benthic Group A,uncultured crenarchaeote/uncultured marine crenarchaeote,uncultured crenarchaeote/uncultured marine crenarchaeote,uncultured crenarchaeote/uncultured marine crenarchaeote,uncultured crenarchaeoteuncultured marine crenarchaeote crenarchaeote(1),Disc.Ord_uncultured crenarchaeote/uncultured marine crenarchaeote(2)
10740,EU650262.1.1415,Archaea,Thaumarchaeota,Marine Benthic Group A,Ambiguous_taxa/uncultured crenarchaeote,Ambiguous_taxa/uncultured crenarchaeote,Ambiguous_taxa/uncultured crenarchaeote,Ambiguous_taxauncultured crenarchaeote Ambiguous_taxa/crenarchaeote(2),Disc.Ord_Ambiguous_taxa/uncultured crenarchaeote(2)
10773,EU721805.1.1414,Bacteria,Spirochaetes,MVP-15,Ambiguous_taxa/uncultured Firmicutes bacterium,Ambiguous_taxa/uncultured Firmicutes bacterium,Ambiguous_taxa/uncultured Firmicutes bacterium,Ambiguous_taxauncultured Firmicutes bacterium Ambiguous_taxa/bacterium(2),Disc.Ord_Ambiguous_taxa/uncultured Firmicutes bacterium(2)
10848,EU773246.1.1389,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae/Micrococcaceae,uncultured/Arthrobacter,unculturedArthrobacter bacterium(1),Disc.Fam_Dermatophilaceae/Micrococcaceae(2)
10892,EU775959.1.1390,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Christensenellaceae,Lachnospiraceae NC2004 group/Christensenellaceae R-7 group,Lachnospiraceae NC2004 groupChristensenellaceae R-7 group bacterium(1),Disc.Fam_Lachnospiraceae/Christensenellaceae(2)
1093,KC486986.1.2070,Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Chlorophyceae/Chlamydomonadales/Trebouxiophyceae,uncultured Dunaliella/Dunaliella,uncultured DunaliellaDunaliella Dunaliella/G2/1(2),Disc.Fam_Chlorophyceae/Chlamydomonadales/Trebouxiophyceae(3)
10937,EU779170.1.1393,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Ruminococcaceae,Lachnospiraceae NC2004 group/[Eubacterium] coprostanoligenes group,Lachnospiraceae NC2004 group[Eubacterium] coprostanoligenes group bacterium(1),Disc.Fam_Lachnospiraceae/Ruminococcaceae(2)
10985,EU799963.1.1517,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium(2)
11006,EU802628.1.1438,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II/Clade I,uncultured bacterium/uncultured,uncultured bacteriumuncultured bacterium/Ambiguous_taxa(2),Disc.Fam_Clade II/Clade I(2)
11008,EU803181.1.1439,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I/Clade II,Clade Ia/uncultured bacterium,Clade Iauncultured bacterium bacterium(1),Disc.Fam_Clade I/Clade II(2)
11068,EU881285.1.1479,Bacteria,Acidobacteria,Acidobacteriia,Subgroup 2,uncultured bacterium/uncultured Acidobacteria bacterium,uncultured bacterium/uncultured Acidobacteria bacterium,uncultured bacteriumuncultured Acidobacteria bacterium bacterium(1),Disc.Fam_uncultured bacterium/uncultured Acidobacteria bacterium(2)
11069,EU881334.1.1501,Bacteria,Proteobacteria,Gammaproteobacteria,CCD24,uncultured bacterium/uncultured gamma proteobacterium,uncultured bacterium/uncultured gamma proteobacterium,uncultured bacteriumuncultured gamma proteobacterium bacterium/proteobacterium(2),Disc.Fam_uncultured bacterium/uncultured gamma proteobacterium(2)
11070,EU881353.1.1514,Bacteria,Armatimonadetes/Rokubacteria,uncultured/NC10,uncultured bacterium/Rokubacteriales,uncultured bacterium,uncultured bacterium,uncultured bacterium bacterium(1),Disc.Phy_)Armatimonadetes/Rokubacteria(2)
11078,EU910615.1.1463,Archaea,Crenarchaeota,Bathyarchaeia,Ambiguous_taxa/uncultured methanogenic archaeon,Ambiguous_taxa/uncultured methanogenic archaeon,Ambiguous_taxa/uncultured methanogenic archaeon,Ambiguous_taxauncultured methanogenic archaeon Ambiguous_taxa/archaeon(2),Disc.Ord_Ambiguous_taxa/uncultured methanogenic archaeon(2)
11079,EU910616.1.1464,Archaea,Asgardaeota,Lokiarchaeia,Ambiguous_taxa/uncultured crenarchaeote,Ambiguous_taxa/uncultured crenarchaeote,Ambiguous_taxa/uncultured crenarchaeote,Ambiguous_taxauncultured crenarchaeote Ambiguous_taxa/crenarchaeote(2),Disc.Ord_Ambiguous_taxa/uncultured crenarchaeote(2)
11102,FAOM01223973.8727.10721,Bacteria,Proteobacteria/Cyanobacteria,Alphaproteobacteria/Oxyphotobacteria,Rickettsiales/Chloroplast,Mitochondria/Triticum aestivum (bread wheat),Triticum aestivum (bread wheat),Triticum aestivum (bread wheat) wheat)(1),Disc.Phy_)Proteobacteria/Cyanobacteria(2)
11103,FAOU01000014.109523.111057,Bacteria,Armatimonadetes,uncultured,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Ord_Ambiguous_taxa/uncultured bacterium(2)
11133,FJ172887.1.1499,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae/Christensenellaceae,Ruminococcaceae UCG-011/Christensenellaceae R-7 group,Ruminococcaceae UCG-011Christensenellaceae R-7 group bacterium(1),Disc.Fam_Ruminococcaceae/Christensenellaceae(2)
1117,MAMN01000047.249174.251307,Bacteria,Ambiguous_taxa/Proteobacteria,Ambiguous_taxa/Alphaproteobacteria,Ambiguous_taxa/Rickettsiales,Ambiguous_taxa/Mitochondria,Arachis duranensis/Ambiguous_taxa/Arachis ipaensis/Lotus japonicus/Cajanus cajan (pigeon pea)/Millettia pinnata/Bituminaria bituminosa,Arachis duranensisAmbiguous_taxaArachis ipaensisLotus japonicusCajanus cajan (pigeon pea)Millettia pinnataBituminaria bituminosa duranensis/Ambiguous_taxa/ipaensis/japonicus/pea)/pinnata/bituminosa(7),Disc.Phy_)Ambiguous_taxa/Proteobacteria(2)
11181,FJ269316.1.1483,Bacteria,Acidobacteria,Subgroup 11,Ambiguous_taxa/uncultured Acidobacteria bacterium,Ambiguous_taxa/uncultured Acidobacteria bacterium,Ambiguous_taxa/uncultured Acidobacteria bacterium,Ambiguous_taxauncultured Acidobacteria bacterium Ambiguous_taxa/bacterium(2),Disc.Ord_Ambiguous_taxa/uncultured Acidobacteria bacterium(2)
11195,FJ366638.1.1372,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae/Lachnospiraceae,Ruminococcaceae UCG-010/[Eubacterium] oxidoreducens group,Ruminococcaceae UCG-010[Eubacterium] oxidoreducens group bacterium(1),Disc.Fam_Ruminococcaceae/Lachnospiraceae(2)
1120,AACY020450508.453.1913,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Ambiguous_taxa/uncultured bacterium/uncultured marine eukaryote,Ambiguous_taxa/uncultured bacterium/uncultured marine eukaryote,Ambiguous_taxauncultured bacteriumuncultured marine eukaryote Ambiguous_taxa/bacterium/eukaryote(3),Disc.Fam_Ambiguous_taxa/uncultured bacterium/uncultured marine eukaryote(3)
11225,FJ425600.1.1444,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Ambiguous_taxa/uncultured marine eukaryote,Ambiguous_taxa/uncultured marine eukaryote,Ambiguous_taxauncultured marine eukaryote Ambiguous_taxa/eukaryote(2),Disc.Fam_Ambiguous_taxa/uncultured marine eukaryote(2)
11227,FJ437973.1.1463,Bacteria,Chloroflexi,Anaerolineae,SJA-15,uncultured bacterium/Ambiguous_taxa,uncultured bacterium/Ambiguous_taxa,uncultured bacteriumAmbiguous_taxa bacterium/Ambiguous_taxa(2),Disc.Fam_uncultured bacterium/Ambiguous_taxa(2)
11229,FJ444669.1.1511,Bacteria,Acidobacteria,Subgroup 6,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Ord_Ambiguous_taxa/uncultured bacterium(2)
11246,FJ478644.1.1500,Bacteria,Acidobacteria,Subgroup 18,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Ord_Ambiguous_taxa/uncultured bacterium(2)
11251,FJ478680.1.1516,Bacteria,Acidobacteria,Subgroup 6,uncultured bacterium/uncultured soil bacterium,uncultured bacterium/uncultured soil bacterium,uncultured bacterium/uncultured soil bacterium,uncultured bacteriumuncultured soil bacterium bacterium(1),Disc.Ord_uncultured bacterium/uncultured soil bacterium(2)
11252,FJ478731.1.1507,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae/uncultured,Gaiella/uncultured bacterium,Gaiellauncultured bacterium bacterium(1),Disc.Fam_Gaiellaceae/uncultured(2)
11256,FJ478815.1.1511,Bacteria,Acidobacteria,Subgroup 6,uncultured bacterium/uncultured Acidobacteria bacterium,uncultured bacterium/uncultured Acidobacteria bacterium,uncultured bacterium/uncultured Acidobacteria bacterium,uncultured bacteriumuncultured Acidobacteria bacterium bacterium(1),Disc.Ord_uncultured bacterium/uncultured Acidobacteria bacterium(2)
11269,FJ479169.1.1511,Bacteria,Acidobacteria,Subgroup 6,uncultured bacterium/uncultured Acidobacteria bacterium,uncultured bacterium/uncultured Acidobacteria bacterium,uncultured bacterium/uncultured Acidobacteria bacterium,uncultured bacteriumuncultured Acidobacteria bacterium bacterium(1),Disc.Ord_uncultured bacterium/uncultured Acidobacteria bacterium(2)
11281,FJ479380.1.1488,Bacteria,Acidobacteria,Subgroup 5,Ambiguous_taxa/uncultured Acidobacteria bacterium,Ambiguous_taxa/uncultured Acidobacteria bacterium,Ambiguous_taxa/uncultured Acidobacteria bacterium,Ambiguous_taxauncultured Acidobacteria bacterium Ambiguous_taxa/bacterium(2),Disc.Ord_Ambiguous_taxa/uncultured Acidobacteria bacterium(2)
11290,FJ479598.1.1514,Bacteria,Acidobacteria,Subgroup 6,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Ord_Ambiguous_taxa/uncultured bacterium(2)
11306,FJ497528.1.1426,Bacteria,Patescibacteria,Gracilibacteria,JGI 0000069-P22,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium(2)
11318,FJ517130.1.1523,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,Ambiguous_taxa/uncultured delta proteobacterium,Ambiguous_taxa/uncultured delta proteobacterium,Ambiguous_taxauncultured delta proteobacterium Ambiguous_taxa/proteobacterium(2),Disc.Fam_Ambiguous_taxa/uncultured delta proteobacterium(2)
11340,FJ545503.1.1494,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium(2)
11382,FJ628213.1.1495,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales/Bacteroidetes VC2.1 Bac22,ST-12K33/uncultured bacterium,uncultured bacterium,uncultured bacterium bacterium(1),Disc.Ord_Sphingobacteriales/Bacteroidetes VC2.1 Bac22(2)
11384,FJ628314.1.1475,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,Ambiguous_taxa/uncultured Chloroflexi bacterium,Ambiguous_taxa/uncultured Chloroflexi bacterium,Ambiguous_taxauncultured Chloroflexi bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured Chloroflexi bacterium(2)
114,HQ782282.1.1447,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Ruminococcaceae,Lachnospiraceae NK4A136 group/Lachnospiraceae UCG-008/Ruminococcus 1/Roseburia,Lachnospiraceae NK4A136 groupLachnospiraceae UCG-008Ruminococcus 1Roseburia organism/bacterium/Ambiguous_taxa(3),Disc.Fam_Lachnospiraceae/Ruminococcaceae(2)
11463,FJ719679.1.1436,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Ambiguous_taxa/Monomorphina pseudonordstedti,Ambiguous_taxa/Monomorphina pseudonordstedti,Ambiguous_taxaMonomorphina pseudonordstedti Ambiguous_taxa/pseudonordstedti(2),Disc.Fam_Ambiguous_taxa/Monomorphina pseudonordstedti(2)
11464,FJ719683.1.1408,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Phacus granum/Phacus claviformis,Phacus granum/Phacus claviformis,Phacus granumPhacus claviformis granum/claviformis(2),Disc.Fam_Phacus granum/Phacus claviformis(2)
11514,FJ826016.1.1491,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,Ambiguous_taxa/uncultured gamma proteobacterium,Ambiguous_taxa/uncultured gamma proteobacterium,Ambiguous_taxauncultured gamma proteobacterium Ambiguous_taxa/proteobacterium(2),Disc.Fam_Ambiguous_taxa/uncultured gamma proteobacterium(2)
11548,FJ848491.1.1570,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Psathyrellaceae/Agaricales,uncultured,uncultured eukaryote(1),Disc.Fam_Psathyrellaceae/Agaricales(2)
11553,FJ849289.1.1411,Bacteria,Cyanobacteria,Oxyphotobacteria,Leptolyngbyales/Nostocales,Leptolyngbyaceae/Nostocaceae,Chamaesiphon PCC-7430/uncultured,Chamaesiphon PCC-7430uncultured bacterium(1),Disc.Ord_Leptolyngbyales/Nostocales(2)
1158,CDYU01050399.532.2072,Bacteria,Tenericutes,Mollicutes,Mollicutes RF39,gut metagenome/uncultured bacterium,gut metagenome/uncultured bacterium,gut metagenomeuncultured bacterium metagenome/bacterium(2),Disc.Fam_gut metagenome/uncultured bacterium(2)
11589,FJ889223.1.1508,Bacteria,Acidobacteria,Subgroup 6,Ambiguous_taxa/uncultured Acidobacteriales bacterium,Ambiguous_taxa/uncultured Acidobacteriales bacterium,Ambiguous_taxa/uncultured Acidobacteriales bacterium,Ambiguous_taxauncultured Acidobacteriales bacterium Ambiguous_taxa/bacterium(2),Disc.Ord_Ambiguous_taxa/uncultured Acidobacteriales bacterium(2)
11598,FJ899144.1.1787,Eukaryota,Opisthokonta,Nucletmycea,Fungi,Ambiguous_taxa/Lentinaceae,Ambiguous_taxa/Lentinus,Ambiguous_taxaLentinus Ambiguous_taxa/tigrinus(2),Disc.Fam_Ambiguous_taxa/Lentinaceae(2)
1161,CP001104.413153.414672,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Ruminococcaceae,[Eubacterium] eligens group/Ruminococcus 1/Lachnospiraceae UCG-008,[Eubacterium] eligens groupRuminococcus 1Lachnospiraceae UCG-008 27750/bacterium/organism/unidentified(4),Disc.Fam_Lachnospiraceae/Ruminococcaceae(2)
11643,FLMP01001690.226.1698,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Ambiguous_taxa/uncultured bacterium ARCTIC13_E_12,Ambiguous_taxa/uncultured bacterium ARCTIC13_E_12,Ambiguous_taxauncultured bacterium ARCTIC13_E_12 Ambiguous_taxa/ARCTIC13_E_12(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium ARCTIC13_E_12(2)
11645,FLMP01005032.876.2312,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,Ambiguous_taxa/uncultured marine archaeon,Ambiguous_taxa/uncultured marine archaeon,Ambiguous_taxauncultured marine archaeon Ambiguous_taxa/archaeon(2),Disc.Fam_Ambiguous_taxa/uncultured marine archaeon(2)
11663,FM242259.1.1461,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,uncultured gamma proteobacterium/uncultured bacterium,uncultured gamma proteobacterium/uncultured bacterium,uncultured gamma proteobacteriumuncultured bacterium proteobacterium/bacterium(2),Disc.Fam_uncultured gamma proteobacterium/uncultured bacterium(2)
11673,FM877547.1.1475,Bacteria,Acidobacteria,Subgroup 6,uncultured Acidobacteria bacterium/uncultured bacterium,uncultured Acidobacteria bacterium/uncultured bacterium,uncultured Acidobacteria bacterium/uncultured bacterium,uncultured Acidobacteria bacteriumuncultured bacterium bacterium(1),Disc.Ord_uncultured Acidobacteria bacterium/uncultured bacterium(2)
11724,FN436145.1.1469,Bacteria,Chloroflexi,Anaerolineae,SBR1031,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium(2)
11729,FN553478.1.1464,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured sediment bacterium/uncultured bacterium,uncultured sediment bacterium/uncultured bacterium,uncultured sediment bacteriumuncultured bacterium bacterium(1),Disc.Fam_uncultured sediment bacterium/uncultured bacterium(2)
11738,FN563196.1.1419,Bacteria,Chloroflexi,Anaerolineae,SJA-15,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium(2)
1183,DQ804290.1.1395,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Ruminococcaceae,Blautia/[Ruminococcus] gauvreauii group/Ruminiclostridium 5,Blautia[Ruminococcus] gauvreauii groupRuminiclostridium 5 bacterium(1),Disc.Fam_Lachnospiraceae/Ruminococcaceae(2)
